titulo;municipio;precio_eur;superficie_m2;tipo_suelo;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Oruña, Piélagos;Piélagos;139000;965.0;Urbano (solar);False;True;144.04145077720207
Peñacastillo - Nuevamontaña, Santander;Santander;169000;650.0;Urbano (solar);False;True;260.0
Calle de la Arnia, Soto de la Marina, Santa Cruz de Bezana;Santa Cruz de Bezana;1290000;3217.0;Urbano (solar);False;True;400.9947155735157
Calle Barrio San Roque, Polanco;Polanco;80000;1668.0;Urbano (solar);False;True;47.961630695443645
Avenida Playa San Juan de la Canal, Soto de la Marina, Santa Cruz de Bezana;Santa Cruz de Bezana;1500000;6518.0;Urbano (solar);False;True;230.13194231359313
Barrio la Venera, Oruña, Piélagos;Piélagos;98000;4507.0;Urbanizable;False;True;21.74395384956734
Barrio Mar, 87 --81, Polanco;Polanco;132000;2210.0;Urbano (solar);True;True;59.72850678733032
Sv-4713, 12, Miengo;Miengo;300000;6548.0;No urbanizable;False;False;45.815516188149054
Barrio la Picota, 38 a, Renedo, Piélagos;Piélagos;69000;413.0;Urbano (solar);False;True;167.07021791767554
Los Pumares, 9, Santillana del Mar;Santillana del Mar;150000;5343.0;Urbano (solar);False;True;28.07411566535654
Barrio la Canal, 9, Oruña, Piélagos;Piélagos;175000;2436.0;Urbano (solar);False;True;71.83908045977012
Barrio el Perujo, Arce, Piélagos;Piélagos;499900;10800.0;Urbano (solar);False;True;46.28703703703704
Carretera Hinojedo-Puente Avios, Suances;Suances;315000;6692.0;Urbanizable;False;True;47.07112970711297
Ca-232, Oruña, Piélagos;Piélagos;113000;1017.0;Urbano (solar);False;True;111.11111111111111
Avenida Juan de Herrera, s/n, Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;115000;885.0;Urbanizable;False;True;129.94350282485877
La Cotera, Renedo, Piélagos;Piélagos;77000;1787.0;Urbanizable;False;True;43.088975937325124
Bo San Pedro, Vioño, Piélagos;Piélagos;75000;2152.0;Urbanizable;True;True;34.85130111524163
Barrio Parayo, Vioño, Piélagos;Piélagos;65000;2930.0;Urbanizable;True;True;22.18430034129693
Barrio Valencia, Zurita, Piélagos;Piélagos;60000;4131.0;Urbanizable;True;True;14.524328249818446
Barrio Valencia, Zurita, Piélagos;Piélagos;60000;1184.0;Urbanizable;True;True;50.67567567567568
Avenida de Santander, s/n, Muriedas, Camargo;Camargo;1290000;12828.0;Urbano (solar);False;True;100.56127221702526
Barrio La Venera, 7 C, Oruña, Piélagos;Piélagos;198000;3377.0;Urbano (solar);False;True;58.63192182410423
Barrio Llejo, Oruña, Piélagos;Piélagos;125000;1104.0;Urbano (solar);False;True;113.22463768115942
Camino de Mato Blanco, Cueto, Santander;Santander;398000;10921.0;No urbanizable;False;False;36.443549125537956
Barrio La Venera, 2, Oruña, Piélagos;Piélagos;170000;7673.0;Urbanizable;False;True;22.155610582562232
Urbanización Rìa del Pas, Boo, Piélagos;Piélagos;310000;1373.0;Urbanizable;False;True;225.78295702840495
Avenida de Santander, Muriedas, Camargo;Camargo;330000;2911.0;Urbanizable;False;True;113.36310546204054
Barrio la Cagiga, Arce, Piélagos;Piélagos;130000;770.0;Urbanizable;False;True;168.83116883116884
Barrio el Bardal, Zurita, Piélagos;Piélagos;750000;2200.0;Urbanizable;False;True;340.90909090909093
Barrio San Julián, Zurita, Piélagos;Piélagos;115000;1822.0;Urbanizable;False;True;63.11745334796927
Barrio las Canteras, Igollo, Camargo;Camargo;135000;1435.0;Urbano (solar);False;True;94.07665505226481
Barrio Aguilera, 3, Parbayón, Piélagos;Piélagos;200000;3422.0;Urbanizable;False;True;58.445353594389246
Calle Castío, s/n, Santillana del Mar;Santillana del Mar;165000;2000.0;Urbanizable;False;True;82.5
Barrio la Iglesia, Polanco;Polanco;55000;1732.0;Urbanizable;False;True;31.755196304849886
Barrio San Pedro, Polanco;Polanco;55000;1790.0;Urbanizable;False;True;30.726256983240223
Barrio el Jurrio, 50 C, Parbayón, Piélagos;Piélagos;90000;1007.0;No urbanizable;False;False;89.37437934458788
Barrio el Jurrio, 50 C, Parbayón, Piélagos;Piélagos;90000;1021.0;No urbanizable;False;False;88.1488736532811
Barrio la Tejera, 8 b, Boo, Piélagos;Piélagos;155000;1222.0;Urbano (solar);False;True;126.84124386252046
Barrio el Tojo, Revilla, Camargo;Camargo;200000;16209.0;No urbanizable;False;False;12.338824110062312
Barrio la Calva, Revilla, Camargo;Camargo;115000;520.0;Urbano (solar);False;True;221.15384615384616
Barrio Oruña, Oruña, Piélagos;Piélagos;150000;8325.0;Urbanizable;False;True;18.01801801801802
Boo, Piélagos;Piélagos;163000;6559.0;Urbanizable;False;True;24.851349291050465
Alisal - Cazoña - San Román, Santander;Santander;1054000;6648.0;Urbanizable;False;True;158.5439229843562
Barrio Llejo, 10, Oruña, Piélagos;Piélagos;147500;1163.0;Urbano (solar);True;True;126.82717110920035
Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;555000;796.0;Urbano (solar);False;True;697.2361809045226
Barrio la Soledad, Arce, Piélagos;Piélagos;180000;4218.0;Urbanizable;False;True;42.67425320056899
Calle del Monte, 33, General Dávila, Santander;Santander;850000;974.0;Urbano (solar);False;True;872.6899383983573
Calle la Masera, 32, Suances;Suances;160000;1622.0;Urbano (solar);False;True;98.64364981504316
Barrio Viveda, 62, Viveda;Viveda;80000;1524.0;Urbanizable;False;True;52.493438320209975
Calle Mayor, 10, Suances;Suances;220000;1425.0;Urbanizable;False;True;154.3859649122807
Barrio San Antonio, Renedo, Piélagos;Piélagos;88000;2121.0;Urbanizable;False;True;41.48986327204149
Barrio Llejo, Oruña, Piélagos;Piélagos;220000;5400.0;Urbano (solar);False;True;40.74074074074074
Barrio Rinconeda, Polanco;Polanco;78000;2963.0;Urbanizable;False;True;26.32467094161323
Abra del Pas, 771, Mogro;Mogro;330000;3892.0;Urbano (solar);False;True;84.78931140801645
Calle Piélagos, Suances;Suances;650000;102180.0;No urbanizable;False;False;6.361323155216285
Barrio La Tejera, Boo, Piélagos;Piélagos;149000;1054.0;Urbanizable;False;True;141.3662239089184
Calle Castío, Santillana del Mar;Santillana del Mar;1339000;36124.0;Urbano (solar);False;True;37.06677001439486
Ca-131, s/n, Santillana del Mar;Santillana del Mar;930000;14772.0;Urbanizable;False;True;62.956945572705116
Calle Bolado, Monte, Santander;Santander;485000;475.0;Urbanizable;False;True;1021.0526315789474
Barrio Menocal, 19 p, Polanco;Polanco;82000;531.0;Urbano (solar);False;True;154.42561205273068
Polígono de Raos, Maliaño, Camargo;Camargo;475000;3000.0;Urbanizable;False;True;158.33333333333334
Calle el Monte, Suances;Suances;143000;1710.0;Urbanizable;False;True;83.62573099415205
Calle Bolado, 1151, Monte, Santander;Santander;471600;10195.0;Urbanizable;False;True;46.25796959293771
Avenida de Dorat, Santillana del Mar;Santillana del Mar;150000;5343.0;Urbano (solar);False;True;28.07411566535654
Diseminado Escobedo, Escobedo, Camargo;Camargo;120000;5630.0;Urbanizable;False;True;21.314387211367674
Barrio la Rueda, Zurita, Piélagos;Piélagos;95000;1000.0;Urbano (solar);False;True;95.0
Oruña, Piélagos;Piélagos;166000;2680.0;Urbanizable;True;True;61.940298507462686
Barrio Posadorios, 1, Barcenilla - Quijano, Piélagos;Piélagos;360000;15880.0;Urbano (solar);False;True;22.670025188916878
Diseminado Queveda, Santillana del Mar;Santillana del Mar;92000;1218.0;Urbano (solar);False;True;75.53366174055829
Barrio Barcenilla, 635, Barcenilla - Quijano, Piélagos;Piélagos;43000;16000.0;No urbanizable;False;False;2.6875
Calle Queveda-la Fuente, Viveda;Viveda;168000;5429.0;Urbano (solar);False;True;30.944925400626268
Barrio Llejo, 8, Oruña, Piélagos;Piélagos;364000;4185.0;Urbano (solar);False;True;86.97729988052569
Peñacastillo - Nuevamontaña, Santander;Santander;1200000;7795.0;Urbano (solar);False;True;153.9448364336113
Liencres, Liencres, Piélagos;Piélagos;38000;1893.0;No urbanizable;False;False;20.073956682514527
Suances;Suances;120000;2500.0;Urbano (solar);False;True;48.0
Miengo;Miengo;135000;6014.0;No urbanizable;False;False;22.44762221483206
Boo, Piélagos;Piélagos;187200;1253.0;Urbano (solar);False;True;149.40143655227453
Santillana del Mar;Santillana del Mar;230000;4058.0;Urbano (solar);False;True;56.6781665845244
Zurita, Piélagos;Piélagos;105000;4004.0;Urbanizable;False;True;26.223776223776223
Maliaño, Camargo;Camargo;400000;39000.0;No urbanizable;False;False;10.256410256410257
Parbayón, Piélagos;Piélagos;110500;1276.0;Urbano (solar);False;True;86.5987460815047
Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;119000;863.0;Urbano (solar);False;True;137.89107763615294
Carandía, Piélagos;Piélagos;59000;1373.0;Urbano (solar);False;True;42.97159504734159
Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;180000;1300.0;Urbano (solar);False;True;138.46153846153845
Parbayón, Piélagos;Piélagos;95500;1104.0;Urbano (solar);False;True;86.5036231884058
Polanco;Polanco;58000;468.0;Urbano (solar);False;True;123.93162393162393
Barrio San Juan, Oruña, Piélagos;Piélagos;240000;2658.0;Urbano (solar);False;True;90.29345372460497
Barrio Menocal, Polanco;Polanco;293000;4796.0;Urbano (solar);False;True;61.09257714762302
Zurita, Piélagos;Piélagos;80000;1066.0;Urbano (solar);False;True;75.046904315197
Barrio el Tojo, 55 a, Revilla, Camargo;Camargo;180000;7728.0;Urbano (solar);False;True;23.29192546583851
Calle Bosco, 13, Suances;Suances;269000;1309.0;Urbanizable;False;True;205.5003819709702
Arce, Piélagos;Piélagos;70000;4591.0;No urbanizable;False;False;15.247222827270747
Zurita, Piélagos;Piélagos;70000;18300.0;No urbanizable;False;False;3.8251366120218577
Zurita, Piélagos;Piélagos;60000;1200.0;Urbano (solar);False;True;50.0
Barrio el Jurrio, Parbayón, Piélagos;Piélagos;150000;2892.0;Urbano (solar);False;True;51.86721991701245
Igollo, Camargo;Camargo;129000;1415.0;Urbano (solar);False;True;91.1660777385159
Igollo, Camargo;Camargo;33000;2590.0;No urbanizable;False;False;12.741312741312742
Calle el Mazo de Abajo, 63, Alisal - Cazoña - San Román, Santander;Santander;2653000;6945.0;Urbano (solar);False;True;382.0014398848092
Calle Resconorio, 53, Monte, Santander;Santander;69000;2087.0;Urbanizable;True;True;33.06181121226641
Barrio Oruña, Oruña, Piélagos;Piélagos;147500;1163.0;Urbano (solar);True;True;126.82717110920035
Barrio la Canal, 8 a, Oruña, Piélagos;Piélagos;166000;2450.0;Urbanizable;False;True;67.75510204081633
Barrio Valencia, 15, Vioño, Piélagos;Piélagos;195000;1577.0;Urbano (solar);False;True;123.65250475586556
Avenida Dorst, km 24, Santillana del Mar;Santillana del Mar;83000;1000.0;Urbanizable;False;True;83.0
Calle Macías Picavea, General Dávila, Santander;Santander;300000;324.0;Urbano (solar);True;True;925.925925925926
Barrio Camplengo, Santillana del Mar;Santillana del Mar;225000;2842.0;Urbano (solar);False;True;79.16959887403237
Barrio el Callejo, 11, Liencres, Piélagos;Piélagos;295000;1080.0;Urbano (solar);False;True;273.14814814814815
Barrio la Canal, Oruña, Piélagos;Piélagos;200000;761.0;Urbano (solar);False;True;262.8120893561104
Barrio El Tolío, Boo, Piélagos;Piélagos;30000;10000.0;No urbanizable;False;False;3.0
Barrio el Palacio, Polanco;Polanco;80000;1476.0;Urbanizable;False;True;54.200542005420054
Calle Repuente, Monte, Santander;Santander;980000;12467.0;Urbanizable;False;True;78.60752386299832
Calle Resconorio, Monte, Santander;Santander;69000;2205.0;Urbanizable;True;True;31.292517006802722
Barrio la Sierra, 3, Liencres, Piélagos;Piélagos;165000;352.0;Urbano (solar);False;True;468.75
Boo, Piélagos;Piélagos;120000;3038.0;Urbanizable;True;True;39.49967083607637
Calle Albert Einstein, Peñacastillo - Nuevamontaña, Santander;Santander;2300000;9212.0;No urbanizable;False;False;249.67433782023448
Calle Inés Diego de Noval, Cueto, Santander;Santander;450000;1132.0;Urbano (solar);False;True;397.52650176678446
Avenida Libertad, Mompia, Santa Cruz de Bezana;Santa Cruz de Bezana;1435000;30859.0;Urbanizable;False;True;46.50183090832496
Las Escuelas, Igollo, Camargo;Camargo;90000;1666.0;Urbano (solar);False;True;54.021608643457384
eri22, Barcenilla - Quijano, Piélagos;Piélagos;22000;1300.0;No urbanizable;False;False;16.923076923076923
eri20, Barcenilla - Quijano, Piélagos;Piélagos;20000;1000.0;No urbanizable;False;False;20.0
Barrio el Perujo, 1, Arce, Piélagos;Piélagos;160000;1236.0;Urbanizable;False;True;129.44983818770226
Barrio las Canteras, 2, Igollo, Camargo;Camargo;130000;1435.0;Urbano (solar);False;True;90.59233449477352
Barrio el Perujo, Arce, Piélagos;Piélagos;120000;1350.0;Urbano (solar);False;True;88.88888888888889
Monte, Santander;Santander;69000;2087.0;Urbanizable;True;True;33.06181121226641
Calle Corceño, Alisal - Cazoña - San Román, Santander;Santander;550000;1430.0;Urbano (solar);False;True;384.61538461538464
Suances;Suances;560000;1000.0;Urbanizable;False;True;560.0
Renedo, Piélagos;Piélagos;142500;4954.0;Urbanizable;False;True;28.76463463867582
Renedo, Piélagos;Piélagos;46900;1404.0;Urbanizable;False;True;33.40455840455841
Monte, Santander;Santander;471600;11934.0;Urbanizable;False;True;39.51734539969834
Solarana, Arce, Piélagos;Piélagos;135000;1020.0;Urbano (solar);False;True;132.35294117647058
Barrio de Santiago, 31 a, Revilla, Camargo;Camargo;180000;16139.0;Urbanizable;False;True;11.153107379639383
Calle Vía, 29 a, Suances;Suances;362000;7498.0;Urbano (solar);False;True;48.2795412109896
Avenida Juan de Herrera, 1, Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;35000;997.0;No urbanizable;False;False;35.10531594784353
La Castañera, 30, Santillana del Mar;Santillana del Mar;75000;6101.0;Urbanizable;False;True;12.293066710375347
Lugar Barrio Rinconeda, 37 a, Polanco;Polanco;643900;5109.0;Urbano (solar);False;True;126.03249168134664
Soto de la Marina, Santa Cruz de Bezana;Santa Cruz de Bezana;2900000;9338.0;Urbanizable;False;True;310.55900621118013
Carretera Avios, 23732, Suances;Suances;120000;3200.0;Urbanizable;False;True;37.5
Calle Laredo, Puerto Chico, Santander;Santander;76923;1108.0;Urbanizable;False;True;69.42509025270758
Calle Albericia, 20, Alisal - Cazoña - San Román, Santander;Santander;850000;4869.0;Urbano (solar);False;True;174.57383446292874
Calle del Monte, General Dávila, Santander;Santander;28000;57.0;Urbano (solar);False;True;491.2280701754386
Calle Resconorio, Monte, Santander;Santander;92800;2205.0;Urbano (solar);False;True;42.08616780045352
Barrio Monte-Corbanera, Monte, Santander;Santander;15000;292.0;Urbanizable;False;True;51.36986301369863
Barrio Rinconeda, 1609, Polanco;Polanco;545200;545.0;Urbano (solar);False;True;1000.3669724770642
Calle Aviche, Monte, Santander;Santander;200000;1450.0;No urbanizable;False;False;137.93103448275863
Barrio el Perujo, Arce, Piélagos;Piélagos;125000;800.0;Urbano (solar);False;True;156.25
Arce, Piélagos;Piélagos;400000;6000.0;Urbanizable;False;True;66.66666666666667
Calle el Castro, Alisal - Cazoña - San Román, Santander;Santander;169000;1210.0;Urbanizable;False;True;139.6694214876033
Barrio la Ermita, 42, Polanco;Polanco;660000;4367.0;Urbano (solar);False;True;151.13350125944584
Calle Repuente, 14, Monte, Santander;Santander;420000;1295.0;Urbano (solar);False;True;324.3243243243243
Avenida de Santander, 72, Herrera, Camargo;Camargo;255000;1429.0;Urbano (solar);False;True;178.44646606018193
Barrio San Julián, 34, Zurita, Piélagos;Piélagos;212000;10910.0;Urbano (solar);False;True;19.431714023831347
Barrio Zurita, 2 D, Zurita, Piélagos;Piélagos;140000;3490.0;Urbano (solar);False;True;40.11461318051576
Avenida Monseñor del Val, 20, Suances;Suances;114950;1267.0;Urbanizable;False;True;90.72612470402525
Somarriba, 5, Liencres, Piélagos;Piélagos;180000;1817.0;Urbano (solar);False;True;99.06439185470556
Vía, Oruña, Piélagos;Piélagos;166000;2437.0;Urbanizable;False;True;68.11653672548215
Barrio Llatas, 14, Liencres, Piélagos;Piélagos;235000;750.0;Urbano (solar);False;True;313.3333333333333
Calle la gesa, Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;180000;12925.0;Urbano (solar);False;True;13.926499032882012
Barrio Zurita, Zurita, Piélagos;Piélagos;85000;8172.0;Urbanizable;False;True;10.401370533529123
La Albericia, s/n, Alisal - Cazoña - San Román, Santander;Santander;850000;6250.0;Urbanizable;False;True;136.0
Barrio Mijares, 86 u, Polanco;Polanco;85000;1600.0;Urbanizable;False;True;53.125
Calle la Reina, 3, Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;179000;955.0;Urbano (solar);True;True;187.434554973822
Calle Vía, Suances;Suances;362000;2405.0;Urbano (solar);False;True;150.51975051975052
Barrio Mijares, s/n, Polanco;Polanco;61000;6006.0;Urbanizable;False;True;10.156510156510157
Calle Santa Teresa, Maliaño, Camargo;Camargo;390000;2173.0;Urbanizable;False;True;179.47537965945696
Barrio la Soledad, Arce, Piélagos;Piélagos;157000;1478.0;Urbano (solar);False;True;106.22462787550744
El Jomizo, s/n, Barcenilla - Quijano, Piélagos;Piélagos;27500;10237.0;No urbanizable;False;False;2.6863338868809223
Barrio Mijares, 1, Polanco;Polanco;60000;6048.0;Urbanizable;False;True;9.920634920634921
Alto Barrio Sorribero Alto, 13, Renedo, Piélagos;Piélagos;150000;1082.0;Urbano (solar);False;True;138.6321626617375
El montonorio, s/n, Miengo;Miengo;115000;1000.0;Urbano (solar);False;True;115.0
Polígono 201 Parcela 108 El Patron. Pielagos, 108 Parcela, Zurita, Piélagos;Piélagos;105000;1643.0;Urbanizable;False;True;63.90748630553865
Barrio Llejo, 1, Oruña, Piélagos;Piélagos;65000;914.0;Urbano (solar);False;True;71.1159737417943
Barrio la Sierra, 3, Liencres, Piélagos;Piélagos;315000;357.0;Urbano (solar);False;True;882.3529411764706
Calle Mateo Escagedo Salmón, Monte, Santander;Santander;375000;834.0;Urbanizable;False;True;449.64028776978415
Barrio Rinconeda, Polanco;Polanco;643900;3251.0;Urbano (solar);False;True;198.06213472777605
S/n, Carandía, Piélagos;Piélagos;45000;1256.0;Urbano (solar);False;True;35.82802547770701
Barrio San Julián, Zurita, Piélagos;Piélagos;48000;3670.0;Urbanizable;False;True;13.079019073569482
Calle Joaquín Salas, Peñacastillo - Nuevamontaña, Santander;Santander;295000;1502.0;Urbano (solar);False;True;196.40479360852197
Calle Bolado, Monte, Santander;Santander;471600;9803.0;Urbanizable;False;True;48.10772212587983
Calle Aurelio Diez, Renedo, Piélagos;Piélagos;204000;1260.0;Urbano (solar);False;True;161.9047619047619
Puente Barrio El, Carandía, Piélagos;Piélagos;250000;6874.0;Urbano (solar);False;True;36.36892638929299
Barrio Mijares, Santillana del Mar;Santillana del Mar;169500;10608.0;Urbanizable;False;True;15.978506787330316
Barrio Polanco, Polanco;Polanco;82000;531.0;Urbano (solar);False;True;154.42561205273068
Ca-133, Santillana del Mar;Santillana del Mar;240000;1800.0;Urbano (solar);False;True;133.33333333333334
Calle el Castro, Alisal - Cazoña - San Román, Santander;Santander;200000;1200.0;Urbano (solar);False;True;166.66666666666666
Diseminado Santillana, Santillana del Mar;Santillana del Mar;360000;53000.0;Urbano (solar);False;True;6.7924528301886795
Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;100000;705.0;Urbano (solar);False;True;141.84397163120568
Avenida Prezanes, Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;149000;815.0;Urbano (solar);False;True;182.82208588957056
Barrio Puente Arce, Arce, Piélagos;Piélagos;189000;3000.0;Urbanizable;False;True;63.0
Puente Barrio Zurita-el Puente, Zurita, Piélagos;Piélagos;48000;3600.0;Urbanizable;False;True;13.333333333333334
Barrio Rumoroso, Polanco;Polanco;55000;5380.0;Urbanizable;False;True;10.223048327137546
Avenida Monseñor del Val, Suances;Suances;102850;1285.0;Urbanizable;False;True;80.03891050583658
Barrio Parbayon, Parbayón, Piélagos;Piélagos;158000;16062.0;No urbanizable;False;False;9.836882081932512
Avenida Juan de Herrera, Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;110000;395.0;Urbano (solar);False;True;278.4810126582278
Calle Alta, Centro - Ayuntamiento, Santander;Santander;115000;45.0;Urbano (solar);False;True;2555.5555555555557
Pereo, Santillana del Mar;Santillana del Mar;550000;7500.0;Urbano (solar);False;True;73.33333333333333
Barrio Menocal, Polanco;Polanco;65000;1650.0;No urbanizable;False;False;39.39393939393939
Barrio Salcedo, Vioño, Piélagos;Piélagos;80000;2300.0;Urbano (solar);False;True;34.78260869565217
Callejón Barrio la, Boo, Piélagos;Piélagos;280000;3167.0;Urbano (solar);False;True;88.4117461319861
Barrio el Molino, Polanco;Polanco;185300;3138.0;Urbano (solar);False;True;59.05035054174633
Bajada de Polio, Los Castros, Santander;Santander;600000;2686.0;Urbano (solar);False;True;223.38049143708116
Barrio la Portilla, Barcenilla - Quijano, Piélagos;Piélagos;46875;1216.0;Urbano (solar);False;True;38.5485197368421
Barrio Rinconeda, Polanco;Polanco;234500;1858.0;Urbano (solar);False;True;126.21097954790096
Calle Camarreal-Ojaiz, Santander;Santander;80000;1900.0;Urbano (solar);False;True;42.10526315789474
Barrio la Llama, Cudón;Miengo;72000;2123.0;Urbano (solar);True;True;33.91427225624117
Calle César Llamazares, Santander;Santander;136850;7732.0;Industrial;False;False;17.69917227108122
Calle Hinojedo, Suances;Suances;60000;2300.0;No urbanizable;False;False;26.08695652173913
Barrio la Valleja, Mortera, Piélagos;Piélagos;385000;2000.0;Urbano (solar);False;True;192.5
Posadillo, Polanco;Polanco;100000;836.0;Urbano (solar);False;True;119.61722488038278
Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;100000;580.0;Urbanizable;False;True;172.41379310344828
Suances, Suances;Suances;60000;3200.0;Urbanizable;False;True;18.75
Calle las Presas, 22, Herrera, Camargo;Camargo;330000;2911.0;Urbano (solar);True;True;113.36310546204054
Barrio Pereo, Santillana del Mar;Santillana del Mar;416000;7263.0;Urbano (solar);False;True;57.27660746248107
Muriedas, Camargo;Camargo;395000;2374.0;Urbano (solar);False;True;166.38584667228307
Barrio del Cabido, Igollo, Camargo;Camargo;155000;2500.0;Urbano (solar);False;True;62.0
Santillana del Mar;Santillana del Mar;1500000;65059.0;No urbanizable;False;False;23.055995327318282
Renedo, Piélagos;Piélagos;88000;555.0;Urbano (solar);False;True;158.55855855855856
Calle Bajada del Caleruco, Los Castros, Santander;Santander;150000;12431.0;No urbanizable;False;False;12.066607674362482
Polanco;Polanco;150000;55000.0;No urbanizable;False;False;2.727272727272727
Suances;Suances;362000;7498.0;Urbano (solar);False;True;48.2795412109896
Barrio Cianca, Parbayón, Piélagos;Piélagos;56000;7000.0;No urbanizable;False;False;8.0
Santillana del Mar;Santillana del Mar;45000;13667.0;No urbanizable;False;False;3.292602619448306
Barrio Camarreal, Santander;Santander;595000;4627.0;Urbano (solar);True;True;128.59304084720122
Alto Maliaño, Camargo;Camargo;160000;572.0;Urbano (solar);False;True;279.72027972027973
Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;495000;2276.0;Urbano (solar);False;True;217.48681898066783
Peñacastillo - Nuevamontaña, Santander;Santander;690000;2765.0;Urbano (solar);False;True;249.54792043399638
Diseminado Rinconeda, Polanco;Polanco;78000;2963.0;Urbanizable;False;True;26.32467094161323
Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;2271000;10558.0;Urbano (solar);False;True;215.09755635537033
Callejón Barrio la, Boo, Piélagos;Piélagos;99900;1200.0;Urbano (solar);False;True;83.25
